Final Event Number,Date & Time Reported,Date and Time Occurred,Log Type,category,Location,State,Status,Remarks
2012-0006951,5/21/12,5/21/2012  2:23:00AM,ASSAULT REPORT,Violence,CURRIER HOUSE A 64 LINNAEAN ST,MA,ARREST,"Officers dispatched to a report of a domestic disturbance in progress. Officers arrived and it was determined that one individual struck another individual.  Officers placed the individual under arrest.
Name: Stinson, Emma
Age: 22
Address: 51 Shepard St
               Cambridge, MA 02138
Charge(s): A&B Domestic Abuse"
2012-0006955,5/21/12,5/21/2012  8:13:00AM,HARASSMENT,Harassment,SFP SOLDIERS FIELD PARK 08 111 WESTERN AVE,MA,CLOSED,Officer dispatched to take a report of an individual receiving harassing e-mails.
2012-0006956,5/21/12,5/17/2012  4:00:00PM To  4:30:00PM,MOTOR VEHICLE ACCIDENT,Other,CGIS - NORTH 1729 CAMBRIDGE ST,MA,CLOSED,Officer dispatched to take a report of damage done to the overhead door that was caused by a motor vehicle.
2012-0006974,5/21/12,5/20/2012  3:21:00AM To  3:23:00AM,THEFT REPORT,Theft,CONTINUING EDUCATION COMPUTER 53 CHURCH ST,MA,CLOSED,"Officer dispatched to take a report of a stolen black Linus mountain bicycle valued at $1000.00, a black Kryptonite Evolution bicycle lock valued at $70.00 and a black Bern bicycle helmet valued at $80.00. At 1:30 pm officer dispatched a second time to the above location for a report of a theft. Officer arrived and spoke to the reporting party who stated upon arrival they observed the front tire of silver Comfort mountain bicycle valued at $375.00 and their cable bicycle lock attached to the bicycle rack. The reporting party stated that the remainder of their bicycle had been stolen.
Update 6/20/12: The Linus bicycle was located leaning against a STOP sign on Brattle Street and Farwell Pl. The bicycle sustained a few scratches. The times and date of this incident have been changed to reflect when the theft occurred. This incident is closed pending any further information."
2012-0006980,5/21/12,5/21/2012  1:52:00PM,UNWANTED GUEST,Suspicious activity,HOLYOKE PARK 75 MT AUBURN ST,MA,CLOSED,Officer reports removing unwanted guests from the area.
2012-0006981,5/21/12,5/21/2012  2:14:00PM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2012-0006984,5/21/12,5/21/2012  2:40:00PM To  3:00:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,SPANGLER CENTER 117 WESTERN AVE,MA,CLOSED,Officer dispatched to a report of suspicious activity. Officer arrived and spoke to the reporting party who stated an unknown individual dressed in an armored transportation uniform approached them and stated they were there to collect money. The reporting party stated they were unaware of money pickup and the individual then left the area.
2012-0006985,5/21/12,5/21/2012  2:46:00PM,SKATEBOARD/BIKE COMPLAINT,Suspicious activity,1 WESTERN AVENUE ,MA,CLOSED,Officer dispatched to a report of individuals skateboarding. Officer arrived and reports the individuals are gone on arrival.
2012-0006988,5/21/12,5/21/2012  4:33:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer dispatched to a report of an individual in the building that reportedly had an active no trespass warning. Officer arrived and reports the individual did not have a trespass warning and had authorization to be there.
2012-0006990,5/21/12,5/16/2012 To 5/19/2012 2:00:00PM To  6:00:00PM,THEFT REPORT,Theft,RIVERSIDE HOUSING COMPLEX 5 COWPERTHWAITE ST,MA,CLOSED,Officer dispatched to take a report of a stolen blue and silver Cannondale mountain bicycle valued at $1600.00 and a cable bicycle lock valued at $25.00. There were no suspicious individuals seen in the area at the time of the theft.
2012-0006999,5/22/12,5/22/2012 12:01:00AM,LOUD PARTY,Noise,CLAVERLY HALL 63 MT AUBURN ST,MA,CLOSED,"Officers dispatched to a report of loud noise. Upon arrival, officers report a party was ending, the music was turned off and the group was dispersing."
2012-0007000,5/22/12,5/22/2012  1:18:00AM,NOISE COMPLAINT,Noise,1 WESTERN AVENUE ,MA,CLOSED,Officers dispatched to a report of loud noise. Officers arrived and instructed the occupants of room 340 to keep the noise down.
2012-0007001,5/22/12,5/22/2012  1:49:00AM,NOISE COMPLAINT,Noise,1 WESTERN AVENUE ,MA,CLOSED,"Officers dispatched to a report of loud noise. Upon arrival, officers report the area was quiet."
2012-0007002,5/22/12,5/22/2012  1:54:00AM,ASSIST CAMBRIDGE POLICE,Other, MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual in their bathrobe refusing to get out of the road. Officers report CPD handled the incident.
2012-0007013,5/22/12,5/20/2012 12:10:00AM,HAZARDOUS CONDITION,Other,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer took a report of a hazardous condition.
2012-0007015,5/22/12,4/30/2012 To 5/10/2012 9:23:00AM To 10:02:00AM,THEFT REPORT,Theft,ARMENISE BUILDING 1 210-1 LONGWOOD AVE,MA,CLOSED,Officer dispatched to take a report of a stolen freezer valued at $800.00 and a stolen refrigerator valued at $300.00.
2012-0007030,5/22/12,5/22/2012 10:24:00AM,ASSIST CAMBRIDGE POLICE,Other, 1414 MASSACHUSETTS AVE,MA,CLOSED,Officer assisted CPD with an individual in need of medical assistance. Officer reports the individual was transported via ambulance to a medical facility.
2012-0007033,5/22/12,5/11/2012  8:00:00PM To 10:00:00PM,THEFT REPORT,Theft,LAMONT LIBRARY 11 QUINCY ST,MA,CLOSED,Officer dispatched to take a report that $200.00 cash was stolen.
2012-0007034,5/22/12,5/7/2012 To 5/8/201210:30:00PM To  8:00:00AM,INDECENT ASSAULT,Violence,QUAD DORMS,MA,CLOSED,"Officer took a report of an indecent assault.
Update 6/22/12: This case is closed pending any further information."
2012-0007044,5/22/12,5/7/2012 To 5/14/2012 1:06:00PM To  1:07:00PM,THEFT REPORT,Theft,HOLWORTHY HALL EAST 19 HARVARD YARD,MA,CLOSED,"Officer dispatched to take a report of a stolen white Giant Commuter bicycle, valued at $400.00. The bike was locked to the rack located behind the building with a cable lock, valued at $30.00, that was also stolen."
2012-0007046,5/22/12,5/14/2012 To 5/22/2012 1:25:00PM To  1:25:00PM,HARASSMENT,Harassment,CRONKHITE GRADUATE CENTER 83 BRATTLE ST,MA,CLOSED,"Officer took a report of harassment.
 Update 6/22/12: This case is closed pending any further information."
2012-0007047,5/22/12,5/15/2012 To 5/18/2012 4:00:00PM To  9:00:00PM,THEFT REPORT,Theft,ROCK CENTER 60 N HARVARD ST,MA,CLOSED,"Officer dispatched to take a report of a stolen black Dell laptop, valued at $1,000.00 and a stolen Dell battery charger valued at $25.00.
Update 6/22/12: This case is closed pending any further information."
2012-0007048,5/22/12,5/22/2012  1:45:00PM To  1:56:00PM,THEFT REPORT,Theft,641 HUNTINGTON AVENUE ,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended wallet valued at $10.00. The wallet contained three credit/debit cards.
Update 6/22/12: This case is closed pending any further information."
2012-0007049,5/22/12,5/21/2012  4:00:00PM To  4:05:00PM,ASSIST CAMBRIDGE POLICE,Other, 36 JFK ST,MA,CLOSED,"Officer assisted CPD in taking a report of a stolen Lenovo laptop valued at $1,300.00."
2012-0007052,5/22/12,5/22/2012  3:21:00PM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest yelling at passerby. Officers reports the individual was gone on arrival.
2012-0007053,5/22/12,3/30/2012 To 5/18/2012 8:00:00AM To  4:07:00PM,THEFT REPORT,Theft,PIERCE HALL 29 OXFORD ST,MA,OPEN,"Officer dispatched to take a report of a stolen black and silver Apple iMac computer, valued at $1,129.00."
2012-0007061,5/22/12,5/22/2012 11:00:00AM To  8:00:00PM,LOST PROPERTY,Theft,SANDERS THEATRE 18 KIRKLAND ST,MA,CLOSED,"Officer dispatched to take a report of a stolen black mountain bike, valued at $650.00. The bike was locked to the rack with a chain lock, valued at $25.00 that was also stolen.
Update 5/24/12: The reporting individual informed the officer that their bike was moved to another location by FMO as they were performing work in the area. The individual retrieved their bicycle. This incident has been reclassified from a theft report to lost property."
2012-0007071,5/22/12,5/22/2012 10:00:00PM To 10:30:00PM,ASSIST CAMBRIDGE POLICE,Other, 58 PLYMPTON ST,MA,CLOSED,Officer assisted CPD with taking a report of vandalism to a motor vehicle. The reporting individual informed the vehicle was parked on the street and upon their return they observed a five foot scratch on the left quarter panel and a one foot scratch on the right hatch back door.
2012-0007073,5/23/12,3/31/2012 To 5/23/201212:05:00AM To 12:05:00AM,ASSAULT REPORT,Violence,RIVERSIDE HOUSING COMPLEX 5 COWPERTHWAITE ST,MA,CLOSED,Officer dispatched to take a report of an assault.
2012-0007090,5/23/12,5/23/2012  2:42:00AM,NOISE COMPLAINT,Noise,SFP SOLDIERS FIELD PARK 04 111 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of people shouting in the area. Officers arrived and told the occupants of rooms 4G and 9A to keep the noise down.
2012-0007092,5/23/12,5/23/2012  3:22:00AM,NOISE COMPLAINT,Noise,SFP SOLDIERS FIELD PARK 04 111 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of individuals making noise. Officers arrived and told the individuals to keep the noise down.
2012-0007105,5/23/12,5/15/2012 To 5/18/2012 4:00:00PM To 10:00:00AM,THEFT REPORT,Theft,BAKER LIBRARY 25 HARVARD WAY,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured black wallet valued at $30.00 that contained $3.00 cash.
2012-0007111,5/23/12,5/23/2012  1:23:00PM,ASSIST CAMBRIDGE POLICE,Other,26 CHURCH ST ,MA,CLOSED,Officers assisted CPD in removing unwanted guests from the area.
2012-0007124,5/23/12,5/23/2012  1:56:00PM,HAZARDOUS CONDITION,Other,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer dispatched to take a report of ammunition found in the area. Officer arrived and spoke to the reporting parties  and confiscated the property.
2012-0007140,5/23/12,5/14/2012 To 5/18/201211:00:00AM To  4:00:00PM,THEFT REPORT,Theft,BELFER CENTER 79 JFK ST,MA,CLOSED,Officer dispatched to take a report of a stolen gray Trek mountain bicycle valued at $830.00 and a bicycle U-lock  valued at $20.00. There were no suspicious individuals seen in the area at the time of the theft.
2012-0007141,5/23/12,5/23/2012  4:34:00PM,TRESPASS WARNING,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual causing a disturbance. Officers arrived and located the individual. A field interview was conducted and the individual was run for wants/warrants with negative results and sent on their way with a Trespass Warning for Holyoke Center.
2012-0007142,5/23/12,5/22/2012  3:00:00PM To  4:30:00PM,THEFT REPORT,Theft,ANDOVER HALL 45 FRANCIS AVE,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured black Northface backpack valued at $50.00 that contained two textbooks valued at $60.00 and a black Lenovo laptop computer valued at $250.00.
2012-0007145,5/23/12,5/23/2012  3:15:00PM To  3:50:00PM,THEFT REPORT,Theft,KENNEDY SCHOOL 79 JFK ST,MA,CLOSED,"Officer dispatched to take a report of a theft. Officer arrived and spoke to the reporting party who stated upon arrival they observed that the following items that were left unattended and unsecured had been stolen; four textbooks valued at $77.00, a purple and brown scarf valued at $100.00, keys, a black Uniclo Nylon jacket valued at $50.00 and a dark blue Ivy Oxford jacket valued at $150.00."
2012-0007153,5/24/12,5/24/2012 12:22:00AM,LOUD PARTY,Noise,NORTH HALL 1651 MASSACHUSETTS AVE,MA,CLOSED,"Officers dispatched to a report of individuals making loud noise in the parking lot. Upon arrival, officers report the party was ending and the individuals were leaving the area."
2012-0007158,5/24/12,5/24/2012  2:11:00AM,NOISE COMPLAINT,Noise,ADAMS HOUSE C 45 BOW ST,MA,CLOSED,"Officers dispatched to a report of loud music. Upon arrival, officers instructed the occupants of C54 to turn the music down."
2012-0007163,5/24/12,5/24/2012  7:13:00AM,SUSPICIOUS MAIL/ PACKAGE/BAG,Suspicious activity,SACKLER MUSEUM 485 BROADWAY,MA,CLOSED,Officers dispatched to a report of an unattended suspicious suitcase. Officers report the suitcase contained clothes and all was in order.
2012-0007166,5/24/12,5/24/2012  9:13:00AM To  9:23:00AM,DEMONSTRATION,Disturbance,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers monitored a demonstration that went without incident.
2012-0007168,5/24/12,5/24/2012  9:40:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,ANDOVER HALL 45 FRANCIS AVE,MA,CLOSED,Officer dispatched to take a report that an individual received a suspicious e-mail that was biased in nature.
2012-0007171,5/24/12,5/24/2012 10:46:00AM,UNWANTED GUEST,Suspicious activity,LANGDELL HALL 1545 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest in the area. Officers arrived and report the individual was gone on arrival.
2012-0007173,5/24/12,5/24/2012 12:08:00PM,UNWANTED GUEST,Suspicious activity,LEVERETT HOUSE TOWERS F 44 DEWOLFE ST,MA,CLOSED,Officer dispatched to a report of an intoxicated unwanted guest in the area. Upon arrival the officer was informed the individual left the area.
2012-0007177,5/24/12,5/24/2012 11:00:00AM To 12:00:00PM,THEFT REPORT,Theft,BERENS TENNIS COURT 79 N HARVARD ST,MA,CLOSED,"Officer took a report of a stolen Blackberry cell phone valued at $200.00, an undershirt valued at $10.00 and a white button down shirt valued at $30.00."
2012-0007178,5/24/12,5/24/2012 10:45:00AM To  2:30:00PM,DEMONSTRATION,Disturbance,WADSWORTH GATE 45 HARVARD YARD,MA,CLOSED,Officers monitored a demonstration that went without incident. The officer reports informing the individuals that they could not distribute flyers in the Yard.
2012-0007210,5/24/12,5/18/2012 12:01:00AM To  8:00:00AM,THEFT REPORT,Theft,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured  HTC cell phone valued at $400.00, a black Sony digital camera valued at $400.00 and a black wallet valued at $20.00 that contained $5.00 cash."
2012-0007212,5/24/12,5/24/2012  3:07:00PM,FIELD INTERVIEW,Other, KIRKLAND ST / OXFORD ST,MA,CLOSED,Officer reports conducting a field interview with an individual who was riding one bicycle while holding another bicycle. The individual was checked for wants/warrants with negative results. The individual informed the second bicycle was a family members bicycle and they were bringing the bicycle to that individual.
2012-0007213,5/24/12,5/24/2012  2:10:00PM To  2:30:00PM,THEFT REPORT,Theft,QUINCY HOUSE A 58 PLYMPTON ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended brown purse valued at $30.00. The purse contained four credit/debit cards, a license, $30.00 and a black Apple iPhone valued at $600.00."
2012-0007217,5/24/12,5/24/2012  4:30:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,HARVARD YARD 1 PEABODY ST,MA,CLOSED,Officer took a report of suspicious activity.
2012-0007218,5/24/12,5/24/2012  5:24:00PM,UNWANTED GUEST,Suspicious activity, 46 DUNSTER ST,MA,CLOSED,Officer dispatched to a report of an unwanted guest. Officer arrived and reports the individual had authorization to be in the area.
2012-0007223,5/24/12,5/24/2012  7:48:00PM,SUSPICIOUS ODOR/SMOKE,Suspicious activity,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer dispatched to a report that the mulch in the area was smoldering. The officer reported the guard extinguished the mulch and all was in order.
2012-0007225,5/24/12,5/24/2012  9:24:00PM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to a report of an unwanted guest. Officer reports the individual was leaving upon their arrival.
2012-0007228,5/24/12,5/24/2012  8:15:00PM To  9:30:00PM,THEFT REPORT,Theft,LOWELL LECTURE HALL 17 KIRKLAND ST,MA,CLOSED,"Officer dispatched to take a report of a stolen Apple MacBook Pro valued at $2,500.00 and a laptop cover valued at $20.00.
Update 10/17/12: The laptop in this incident was recovered and a complaint was issued.
Name: Goncalves, Marco
Age: 23
Address: 499 Cummins Hwy, Roslindale, MA
Charge(s): Receiving Stolen Property +250"
2012-0007229,5/24/12,5/24/2012 10:48:00PM,MOTOR VEHICLE ACCIDENT,Other,EVERETT STREET GARAGE 10 EVERETT ST,MA,CLOSED,Officer dispatched to a report of a motor vehicle accident with no personal injuries. Upon arrival the individual informed the officer while backing out of a space they struck a cement post and damaged their vehicle. The post was not damaged.
2012-0007232,5/24/12,5/24/2012 11:29:00PM,NOISE COMPLAINT,Noise,LAMPOON 44 BOW ST,MA,CLOSED,Officers dispatched to a report of loud noise. Upon arrival officers instructed the individuals sitting on the stairs to go inside and keep the noise down.
2012-0007236,5/25/12,5/25/2012 12:45:00AM,NOISE COMPLAINT,Noise,PEABODY TERRACE 18 900 MEMORIAL DR,MA,CLOSED,Officers dispatched to a report of loud noise. Officers arrived and told the occupants of room 22 to keep the noise down.
2012-0007238,5/25/12,5/25/2012  1:09:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,STOUGHTON HALL SOUTH 17 HARVARD YARD,MA,CLOSED,Officers dispatched to a report of two individuals attempting to remove a banner. Officers arrived and spoke to management. Officers report Operations was notified and will arrive to fix the banner.
2012-0007240,5/25/12,5/25/2012  3:16:00AM,DISTURBANCE,Disturbance, MILL ST / PLYMPTON ST,MA,CLOSED,"Officers dispatched to a report of individuals throwing bottles off the garage. Officers arrived and spoke to the individuals who stated they were excited to be graduating. Officers stood by while the individuals cleaned the area.
Update 7/27/12: This incident has been reclassified from suspicious activity to disturbance."
2012-0007242,5/25/12,5/25/2012  3:59:00AM,NOISE COMPLAINT,Noise,LEVERETT HOUSE TOWERS G 44 DEWOLFE ST,MA,CLOSED,Officers dispatched to a report of loud music. Officers arrived and report all is quiet and in order.
2012-0007243,5/25/12,5/25/2012  4:15:00AM,LOUD PARTY,Noise,"KIRKLAND ST, 41 41 KIRKLAND ST",MA,CLOSED,Officers dispatched to a report of a loud party. Officers arrived and report the noise was from occupants dispersing in room 406A.
2012-0007244,5/25/12,5/25/2012  5:28:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,WEEKS BRIDGE 1 MEMORIAL DR,MA,CLOSED,Officers dispatched to a report of individuals jumping into the river. Officers arrived and sent the individuals on their way.
2012-0007247,5/25/12,5/25/2012  7:57:00AM,FIELD INTERVIEW,Other, MILL ST / HOLYOKE ST,MA,CLOSED,Officer observed two individuals sleeping on a bench. A field interview was conducted and each individual was run for wants/warrants with negative results and sent on their way.
2012-0007253,5/25/12,5/25/2012 10:57:00AM To 10:58:00AM,PROPERTY DAMAGE,Theft,367 WESTERN AVE ,MA,CLOSED,Officer dispatched to take a report of damage done to a wire.
2012-0007259,5/25/12,5/25/2012 12:58:00PM,ASSIST CAMBRIDGE POLICE,Other,HARVARD SQUARE 1 HARVARD SQ,MA,CLOSED,Officer assisted CPD with individual that was on the ground. Officers report individual is fine now and walking around.
2012-0007261,5/25/12,5/25/2012  1:34:00PM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2012-0007262,5/25/12,5/25/2012  1:35:00PM,FIELD INTERVIEW,Other, 65 N HARVARD ST,MA,CLOSED,Officers observed an individual that fit the description of an individual involved in a theft. A field interview was conducted and the individual was run for wants/warrants with negative results. Officers determined it was not the same individual and they were sent on their way.
2012-0007266,5/25/12,5/25/2012  2:14:00PM,DISTURBANCE,Disturbance,QUINCY HOUSE A 58 PLYMPTON ST,MA,CLOSED,Officer dispatched to a report of traffic congestion due to a moving truck in the area. Officer arrived and spoke to the operator who became argumentive and began yelling. Officer advised the individual to stop yelling and calm down. Officer reports all is in order and left the area.
2012-0007268,5/25/12,5/25/2012  4:36:00PM,FIELD INTERVIEW,Other,RADCLIFFE GYM 10 GARDEN ST,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously in the building. Officers arrived and located the individual. A field interview was conducted and the individual was run for wants/warrants with negative results and sent on their way.
2012-0007270,5/25/12,5/25/2012  4:58:00PM,FIELD INTERVIEW,Other,HARKNESS COMMONS 14 EVERETT ST,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously in the building. Officers arrived and located the individual. A field interview was conducted and the individual was run for wants/warrants with negative results. Officers determined the individual was affiliated and had authorization to be there.
2012-0007271,5/25/12,5/25/2012  3:30:00PM To  5:00:00PM,THEFT REPORT,Theft,MALLINCKRODT LAB 12 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a theft. Officer arrived and spoke to the individual who stated upon arrival they observed their silver Apple MacBook Pro laptop computer valued at $2000.00, a computer cable lock valued at $25.00 and a computer hard drive valued at $100.00 was stolen.
UPDATE 6/26/12: Complaints were issued against an individual in this case:
Name: Duret, Roderick
Age: 41
Address:  333 Massachusetts Ave
                Apt 9
                Boston, MA 02115
Charge(s): Larceny in a building"
2012-0007275,5/25/12,5/25/2012  6:15:00PM To  7:00:00PM,THEFT REPORT,Theft,DUNSTER HOUSE A 935 MEMORIAL DR,MA,CLOSED,Officer dispatched to take a report of a stolen unattended suitcase valued at $100.00  and five orange Head tennis racquets valued at $1000.00.
2012-0007276,5/25/12,5/25/2012  7:05:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,114 WESTERN AVE ,MA,CLOSED,Officers dispatched to a report of an individual attempting to gain access to the building by stating they were delivering water. The reporting party told the individual they were not expecting a delivery and the individual then left the area. Officers report extra checks of the building will be performed throughout the night.
2012-0007282,5/26/12,5/26/2012 12:17:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,LEVERETT HOUSE TOWERS F 44 DEWOLFE ST,MA,CLOSED,Officers dispatched to a report of two individuals acting suspiciously. Officers arrived and searched the area for the individuals with negative results.
2012-0007289,5/26/12,5/26/2012  2:05:00AM,THEFT REPORT,Theft,WIGGLESWORTH HALL J 6 HARVARD YARD,MA,CLOSED,Officer dispatched to take a report of a theft. Officer arrived and spoke to the individual who stated they did not wish to file a report.
2012-0007290,5/26/12,5/26/2012  2:53:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,1 WESTERN AVENUE ,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously in the area. Officers arrived and searched the area for the  individual with negative results.
2012-0007293,5/26/12,5/26/2012  5:57:00AM,NOISE COMPLAINT,Noise,LAMPOON 44 BOW ST,MA,CLOSED,Officers dispatched to a report of loud music. Officers arrived and told the individuals to shut the music off.
2012-0007300,5/26/12,5/26/2012 11:30:00AM,SUSPICIOUS ACTIVITY,Suspicious activity, 12 FERNALD DR,MA,CLOSED,Officer dispatched to a report of an individual acting suspiciously. Officer arrived and reports all is in order. Officer reports extra patrols of the area will be done throughout the night.
2012-0007306,5/26/12,5/26/2012  3:36:00PM,MOTOR VEHICLE ACCIDENT,Other,BROADWAY GARAGE 7 FELTON ST,MA,CLOSED,Officer dispatched to take a report of damage done to a parking gate arm that was caused by a motor vehicle.
2012-0007321,5/26/12,5/26/2012  8:25:00PM To  8:51:00PM,THEFT REPORT,Theft, 1 OXFORD ST,MA,CLOSED,"Officer reports their hat was removed from the area. Officer then observed an individual walking through the area carrying a police hat. The individual was stopped and officer recovered the hat. A field interview was conducted and the individual was run for wants/warrants with negative results and sent on their way with a trespass warning for all Harvard University property. Officer reports complaints may be sought against the individual.
Update 3/27/13: This case is closed pending any further information."
2012-0007326,5/26/12,5/26/2012 11:56:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,THAYER HALL NORTH 21 HARVARD YARD,MA,CLOSED,Officers dispatched to a report that an individual reportedly climbed in a window. Officers arrived and report the individual was locked out and was affiliated.
2012-0007327,5/27/12,5/27/2012 12:01:00AM To 12:15:00AM,THEFT REPORT,Theft,RADCLIFFE YARD 13 APPIAN WAY,MA,CLOSED,Officer dispatched to take a report of a stolen Apple iPhone valued at $150.00.
2012-0007332,5/27/12,5/27/2012  4:59:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,WEEKS BRIDGE 1 MEMORIAL DR,MA,CLOSED,Officers dispatched to a report of a group of individuals jumping off the bridge into the water. Officers report the individuals were advised not to jump off the bridge and were sent on their way.
2012-0007348,5/27/12,5/13/2012 To 5/27/2012 4:00:00PM To 11:30:00AM,THEFT REPORT,Theft,1 WESTERN AVENUE ,MA,CLOSED,Officer dispatched to take a report of a stolen black Schwinn bicycle valued at $550.00. The bicycle was locked to the rack with a Kryptonite cable lock that was left in the area.
2012-0007365,5/28/12,5/28/2012 12:08:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,CGIS KNAFEL BUILDING 1737 CAMBRIDGE ST,MA,CLOSED,Officers dispatched to a report of individuals drinking in the area. Officers report the individuals were at an event behind Gund Hall and all was in order.
2012-0007372,5/28/12,5/28/2012  5:04:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,VANDERBILT HALL 107 AVE LOUIS PASTEUR,MA,CLOSED,Officers dispatched to a report that an individual used another individual's identification card to attempt to gain access to the gym. Officers spoke with the individuals involved and sent them on their way.
2012-0007380,5/29/12,5/22/2012 To 5/29/2012 8:00:00PM To 12:41:00AM,THEFT REPORT,Theft,SFP SOLDIERS FIELD PARK 02 111 WESTERN AVE,MA,CLOSED,"Officer took a report of a two stolen suitcases valued at $100.00 a piece. One suitcase contained personal items valued at $3,000.00 and the other contained six credit/debit cards and $1,000.00 cash."
2012-0007397,5/29/12,5/29/2012 12:55:00PM,SUSPICIOUS ACTIVITY,Suspicious activity, 18 MASON ST,MA,CLOSED,Officer dispatched to a report that an unwanted guest appeared to be living behind the building. Officer reports FMO was removing the belongings and the individual was not in the area.
2012-0007401,5/29/12,5/29/2012  1:51:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,PEABODY TERRACE 02 900 MEMORIAL DR,MA,CLOSED,Officer took a report of suspicious activity.
2012-0007406,5/29/12,5/29/2012  6:55:00PM,ASSIST BOSTON POLICE,Other, 267 WESTERN AVE,MA,CLOSED,Officer assisted BPD with conducting a field interview. Officer reports the individuals were sent on their way.
2012-0007407,5/29/12,5/29/2012  7:39:00PM,HAZARDOUS CONDITION,Other, 1 WESTERN AVE,MA,CLOSED,Officer dispatched to a report of individuals using a grill on the patio. Officer reports there was no hazard as the flames in the grill were contained.
2012-0007425,5/30/12,5/30/2012  8:34:00AM,HARASSMENT,Harassment,ROBINSON HALL 35 QUINCY ST,MA,OPEN,"Officer received a copy of a 209A Protection Order.
Update 6/28/12: Complaints were issued in this incident. The incident has been reclassified from 209 A Service/Protection Order to Harassment.
Name: Maceus, Nick
Age: 30
Address: 47 Hampson St., Dracut
Charge(s): Criminal Harassment
Witness, Intimidate"
2012-0007437,5/30/12,5/30/2012  6:41:00PM,SUSPICIOUS MAIL/ PACKAGE/BAG,Suspicious activity,TERRY TERRACE 15 EVERETT ST,MA,CLOSED,Officer dispatched to a report that an individual received a suspicious package containing a hypodermic needle filled with an unknown liquid. Upon further investigation it was discovered that the package is part of a scam and the hypodermic needle was a novelty pen.
2012-0007440,5/30/12,5/30/2012 10:19:00PM,THEFT REPORT,Theft,29 GARDEN STREET ,MA,CLOSED,"Officers dispatched to a report that a suspicious individual was in the building possibly tampering with packages in the mailroom. Upon arrival, officers searched the area for the individual with negative results. Officers spoke with the reporting individual who stated the suspicious individual followed another individual into the building. The reporting individual stared at the suspicious individual and the individual fled out of the building. The reporting individual observed an open package on the ground and was unsure if it had been tampered with."
2012-0007462,5/31/12,5/26/2012 To 5/28/201210:15:00AM To 10:00:00PM,THEFT REPORT,Theft,RIVERSIDE HOUSING COMPLEX 5 COWPERTHWAITE ST,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured mail package that contained a piece of jewelry.
2012-0007463,5/31/12,5/17/2012  9:30:00AM To 10:00:00AM,THEFT REPORT,Theft,BAKER LIBRARY 25 HARVARD WAY,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured Apple iPad valued at $600.00 and a black leather case valued at $30.00.
2012-0007465,5/31/12,5/31/2012  2:17:00PM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual sleeping in the area. Officers arrived and sent the individual on their way.
